Serial_number:
2020431
Project ID:

Location:
AcrossFromLake_Lower
AcrossFromLake_Lower
UNIT: kPa
Offset: 0.000000 kPa
TEMPERATURE
UNIT: °C
Date,Time,ms,AcrossFromLake_Lower,TEMPERATURE
11/21/2022,03:00:00 pm,0,70.2969,6.709
11/21/2022,03:15:00 pm,0,70.2814,6.710
11/21/2022,03:30:00 pm,0,70.2698,6.711
11/21/2022,03:45:00 pm,0,70.2629,6.713
11/21/2022,04:00:00 pm,0,70.2582,6.714
11/21/2022,04:15:00 pm,0,70.2561,6.716
11/21/2022,04:30:00 pm,0,70.2663,6.717
11/21/2022,04:45:00 pm,0,70.2648,6.718
11/21/2022,05:00:00 pm,0,70.2647,6.718
11/21/2022,05:15:00 pm,0,70.2516,6.719
11/21/2022,05:30:00 pm,0,70.2566,6.721
11/21/2022,05:45:00 pm,0,70.2633,6.721
11/21/2022,06:00:00 pm,0,70.2780,6.723
11/21/2022,06:15:00 pm,0,70.2903,6.722
11/21/2022,06:30:00 pm,0,70.2993,6.724
11/21/2022,06:45:00 pm,0,70.3028,6.725
11/21/2022,07:00:00 pm,0,70.3114,6.725
11/21/2022,07:15:00 pm,0,70.3244,6.726
11/21/2022,07:30:00 pm,0,70.3408,6.727
11/21/2022,07:45:00 pm,0,70.3631,6.727
11/21/2022,08:00:00 pm,0,70.3669,6.727
11/21/2022,08:15:00 pm,0,70.3801,6.728
11/21/2022,08:30:00 pm,0,70.4016,6.729
11/21/2022,08:45:00 pm,0,70.4137,6.729
11/21/2022,09:00:00 pm,0,70.4245,6.730
11/21/2022,09:15:00 pm,0,70.4292,6.731
11/21/2022,09:30:00 pm,0,70.4250,6.731
11/21/2022,09:45:00 pm,0,70.4298,6.732
11/21/2022,10:00:00 pm,0,70.4272,6.733
11/21/2022,10:15:00 pm,0,70.4335,6.732
11/21/2022,10:30:00 pm,0,70.4315,6.733
11/21/2022,10:45:00 pm,0,70.4173,6.734
11/21/2022,11:00:00 pm,0,70.4132,6.734
11/21/2022,11:15:00 pm,0,70.4105,6.734
11/21/2022,11:30:00 pm,0,70.4084,6.735
11/21/2022,11:45:00 pm,0,70.4081,6.735
11/22/2022,12:00:00 am,0,70.3901,6.735
11/22/2022,12:15:00 am,0,70.3820,6.737
11/22/2022,12:30:00 am,0,70.3665,6.737
11/22/2022,12:45:00 am,0,70.3586,6.737
11/22/2022,01:00:00 am,0,70.3427,6.737
11/22/2022,01:15:00 am,0,70.3210,6.737
11/22/2022,01:30:00 am,0,70.3137,6.738
11/22/2022,01:45:00 am,0,70.3014,6.738
11/22/2022,02:00:00 am,0,70.3001,6.739
11/22/2022,02:15:00 am,0,70.2893,6.739
11/22/2022,02:30:00 am,0,70.2763,6.739
11/22/2022,02:45:00 am,0,70.2627,6.740
11/22/2022,03:00:00 am,0,70.2591,6.740
11/22/2022,03:15:00 am,0,70.2606,6.740
11/22/2022,03:30:00 am,0,70.2609,6.741
11/22/2022,03:45:00 am,0,70.2517,6.740
11/22/2022,04:00:00 am,0,70.2406,6.742
11/22/2022,04:15:00 am,0,70.2388,6.741
11/22/2022,04:30:00 am,0,70.2400,6.741
11/22/2022,04:45:00 am,0,70.2547,6.741
11/22/2022,05:00:00 am,0,70.2592,6.740
11/22/2022,05:15:00 am,0,70.2613,6.738
11/22/2022,05:30:00 am,0,70.2739,6.737
11/22/2022,05:45:00 am,0,70.2855,6.735
11/22/2022,06:00:00 am,0,70.2904,6.734
11/22/2022,06:15:00 am,0,70.2900,6.729
11/22/2022,06:30:00 am,0,70.2970,6.726
11/22/2022,06:45:00 am,0,70.3077,6.716
11/22/2022,07:00:00 am,0,70.3182,6.712
11/22/2022,07:15:00 am,0,70.3216,6.708
11/22/2022,07:30:00 am,0,70.3290,6.708
11/22/2022,07:45:00 am,0,70.3460,6.707
11/22/2022,08:00:00 am,0,70.3593,6.703
11/22/2022,08:15:00 am,0,70.3661,6.701
11/22/2022,08:30:00 am,0,70.3746,6.702
11/22/2022,08:45:00 am,0,70.3772,6.702
11/22/2022,09:00:00 am,0,70.3822,6.703
11/22/2022,09:15:00 am,0,70.3950,6.704
11/22/2022,09:30:00 am,0,70.3921,6.706
11/22/2022,09:45:00 am,0,70.3923,6.708
11/22/2022,10:00:00 am,0,70.3854,6.709
11/22/2022,10:15:00 am,0,70.3710,6.711
11/22/2022,10:30:00 am,0,70.3610,6.713
11/22/2022,10:45:00 am,0,70.3532,6.714
11/22/2022,11:00:00 am,0,70.3413,6.717
11/22/2022,11:15:00 am,0,70.3276,6.718
11/22/2022,11:30:00 am,0,70.3149,6.719
11/22/2022,11:45:00 am,0,70.3102,6.719
11/22/2022,12:00:00 pm,0,70.2875,6.721
11/22/2022,12:15:00 pm,0,70.2564,6.722
11/22/2022,12:30:00 pm,0,70.2376,6.723
11/22/2022,12:45:00 pm,0,70.2269,6.724
11/22/2022,01:00:00 pm,0,70.2115,6.725
11/22/2022,01:15:00 pm,0,70.1938,6.726
11/22/2022,01:30:00 pm,0,70.1633,6.726
11/22/2022,01:45:00 pm,0,70.1372,6.728
11/22/2022,02:00:00 pm,0,70.1262,6.728
11/22/2022,02:15:00 pm,0,70.1120,6.729
11/22/2022,02:30:00 pm,0,70.0957,6.730
11/22/2022,02:45:00 pm,0,70.0572,6.730
11/22/2022,03:00:00 pm,0,70.0524,6.731
11/22/2022,03:15:00 pm,0,70.0377,6.731
11/22/2022,03:30:00 pm,0,70.0315,6.732
11/22/2022,03:45:00 pm,0,70.0194,6.733
11/22/2022,04:00:00 pm,0,70.0030,6.733
11/22/2022,04:15:00 pm,0,69.9993,6.734
11/22/2022,04:30:00 pm,0,69.9722,6.734
11/22/2022,04:45:00 pm,0,69.9756,6.735
11/22/2022,05:00:00 pm,0,69.9693,6.735
11/22/2022,05:15:00 pm,0,69.9854,6.735
11/22/2022,05:30:00 pm,0,69.9775,6.736
11/22/2022,05:45:00 pm,0,69.9955,6.736
11/22/2022,06:00:00 pm,0,70.0044,6.737
11/22/2022,06:15:00 pm,0,70.0077,6.736
11/22/2022,06:30:00 pm,0,70.0207,6.737
11/22/2022,06:45:00 pm,0,70.0321,6.738
11/22/2022,07:00:00 pm,0,70.0264,6.738
11/22/2022,07:15:00 pm,0,70.0656,6.739
11/22/2022,07:30:00 pm,0,70.0530,6.738
11/22/2022,07:45:00 pm,0,70.0782,6.738
11/22/2022,08:00:00 pm,0,70.0884,6.740
11/22/2022,08:15:00 pm,0,70.0960,6.740
11/22/2022,08:30:00 pm,0,70.1034,6.739
11/22/2022,08:45:00 pm,0,70.1140,6.740
11/22/2022,09:00:00 pm,0,70.1287,6.741
11/22/2022,09:15:00 pm,0,70.1380,6.740
11/22/2022,09:30:00 pm,0,70.1518,6.741
11/22/2022,09:45:00 pm,0,70.1515,6.742
11/22/2022,10:00:00 pm,0,70.1490,6.742
11/22/2022,10:15:00 pm,0,70.1397,6.742
11/22/2022,10:30:00 pm,0,70.1288,6.742
11/22/2022,10:45:00 pm,0,70.1201,6.743
11/22/2022,11:00:00 pm,0,70.1197,6.742
11/22/2022,11:15:00 pm,0,70.1055,6.742
11/22/2022,11:30:00 pm,0,70.0974,6.743
11/22/2022,11:45:00 pm,0,70.0779,6.743
11/23/2022,12:00:00 am,0,70.0675,6.744
11/23/2022,12:15:00 am,0,70.0534,6.744
11/23/2022,12:30:00 am,0,70.0438,6.745
11/23/2022,12:45:00 am,0,70.0377,6.744
11/23/2022,01:00:00 am,0,70.0178,6.745
11/23/2022,01:15:00 am,0,70.0084,6.745
11/23/2022,01:30:00 am,0,69.9977,6.745
11/23/2022,01:45:00 am,0,69.9775,6.745
11/23/2022,02:00:00 am,0,69.9564,6.745
11/23/2022,02:15:00 am,0,69.9342,6.746
11/23/2022,02:30:00 am,0,69.9089,6.746
11/23/2022,02:45:00 am,0,69.8975,6.746
11/23/2022,03:00:00 am,0,69.8757,6.746
11/23/2022,03:15:00 am,0,69.8708,6.747
11/23/2022,03:30:00 am,0,69.8646,6.746
11/23/2022,03:45:00 am,0,69.8573,6.747
11/23/2022,04:00:00 am,0,69.8617,6.747
11/23/2022,04:15:00 am,0,69.8734,6.747
11/23/2022,04:30:00 am,0,69.8822,6.747
11/23/2022,04:45:00 am,0,69.8924,6.748
11/23/2022,05:00:00 am,0,69.9032,6.748
11/23/2022,05:15:00 am,0,69.9169,6.748
11/23/2022,05:30:00 am,0,69.9213,6.748
11/23/2022,05:45:00 am,0,69.9277,6.749
11/23/2022,06:00:00 am,0,69.9431,6.748
11/23/2022,06:15:00 am,0,69.9525,6.748
11/23/2022,06:30:00 am,0,69.9658,6.748
11/23/2022,06:45:00 am,0,69.9782,6.747
11/23/2022,07:00:00 am,0,69.9897,6.746
11/23/2022,07:15:00 am,0,69.9971,6.744
11/23/2022,07:30:00 am,0,70.0216,6.742
11/23/2022,07:45:00 am,0,70.0417,6.741
11/23/2022,08:00:00 am,0,70.0532,6.738
11/23/2022,08:15:00 am,0,70.0575,6.736
11/23/2022,08:30:00 am,0,70.0683,6.736
11/23/2022,08:45:00 am,0,70.0761,6.735
11/23/2022,09:00:00 am,0,70.0853,6.734
11/23/2022,09:15:00 am,0,70.0893,6.734
11/23/2022,09:30:00 am,0,70.0884,6.733
11/23/2022,09:45:00 am,0,70.0935,6.734
11/23/2022,10:00:00 am,0,70.0946,6.733
11/23/2022,10:15:00 am,0,70.0926,6.734
11/23/2022,10:30:00 am,0,70.0883,6.734
11/23/2022,10:45:00 am,0,70.0797,6.735
11/23/2022,11:00:00 am,0,70.0713,6.735
11/23/2022,11:15:00 am,0,70.0557,6.736
11/23/2022,11:30:00 am,0,70.0412,6.736
11/23/2022,11:45:00 am,0,70.0271,6.737
11/23/2022,12:00:00 pm,0,70.0084,6.738
11/23/2022,12:15:00 pm,0,69.9857,6.738
11/23/2022,12:30:00 pm,0,69.9690,6.739
11/23/2022,12:45:00 pm,0,69.9481,6.739
11/23/2022,01:00:00 pm,0,69.9354,6.740
11/23/2022,01:15:00 pm,0,69.9236,6.740
11/23/2022,01:30:00 pm,0,69.8958,6.740
11/23/2022,01:45:00 pm,0,69.8759,6.741
11/23/2022,02:00:00 pm,0,69.8557,6.741
11/23/2022,02:15:00 pm,0,69.8306,6.741
11/23/2022,02:30:00 pm,0,69.8042,6.741
11/23/2022,02:45:00 pm,0,69.7920,6.741
11/23/2022,03:00:00 pm,0,69.7726,6.742
11/23/2022,03:15:00 pm,0,69.7572,6.742
11/23/2022,03:30:00 pm,0,69.7488,6.742
11/23/2022,03:45:00 pm,0,69.7490,6.742
11/23/2022,04:00:00 pm,0,69.7349,6.743
11/23/2022,04:15:00 pm,0,69.7317,6.743
11/23/2022,04:30:00 pm,0,69.7229,6.744
11/23/2022,04:45:00 pm,0,69.7151,6.745
11/23/2022,05:00:00 pm,0,69.7268,6.744
11/23/2022,05:15:00 pm,0,69.7341,6.745
11/23/2022,05:30:00 pm,0,69.7451,6.745
11/23/2022,05:45:00 pm,0,69.7606,6.745
11/23/2022,06:00:00 pm,0,69.7672,6.746
11/23/2022,06:15:00 pm,0,69.7821,6.746
11/23/2022,06:30:00 pm,0,69.7756,6.746
11/23/2022,06:45:00 pm,0,69.7882,6.746
11/23/2022,07:00:00 pm,0,69.8000,6.747
11/23/2022,07:15:00 pm,0,69.8013,6.747
11/23/2022,07:30:00 pm,0,69.8122,6.747
11/23/2022,07:45:00 pm,0,69.8173,6.747
11/23/2022,08:00:00 pm,0,69.8195,6.747
11/23/2022,08:15:00 pm,0,69.8244,6.748
11/23/2022,08:30:00 pm,0,69.8372,6.748
11/23/2022,08:45:00 pm,0,69.8416,6.748
11/23/2022,09:00:00 pm,0,69.8476,6.748
11/23/2022,09:15:00 pm,0,69.8540,6.748
11/23/2022,09:30:00 pm,0,69.8621,6.748
11/23/2022,09:45:00 pm,0,69.8645,6.748
11/23/2022,10:00:00 pm,0,69.8604,6.748
11/23/2022,10:15:00 pm,0,69.8589,6.749
11/23/2022,10:30:00 pm,0,69.8593,6.750
11/23/2022,10:45:00 pm,0,69.8592,6.750
11/23/2022,11:00:00 pm,0,69.8587,6.750
11/23/2022,11:15:00 pm,0,69.8458,6.750
11/23/2022,11:30:00 pm,0,69.8331,6.750
11/23/2022,11:45:00 pm,0,69.8286,6.750
11/24/2022,12:00:00 am,0,69.8067,6.750
11/24/2022,12:15:00 am,0,69.7939,6.751
11/24/2022,12:30:00 am,0,69.7800,6.751
11/24/2022,12:45:00 am,0,69.7698,6.752
11/24/2022,01:00:00 am,0,69.7607,6.751
11/24/2022,01:15:00 am,0,69.7379,6.751
11/24/2022,01:30:00 am,0,69.7205,6.751
11/24/2022,01:45:00 am,0,69.7096,6.752
11/24/2022,02:00:00 am,0,69.6973,6.752
11/24/2022,02:15:00 am,0,69.6815,6.753
11/24/2022,02:30:00 am,0,69.6683,6.752
11/24/2022,02:45:00 am,0,69.6638,6.753
11/24/2022,03:00:00 am,0,69.6580,6.753
11/24/2022,03:15:00 am,0,69.6554,6.752
